loinc_num,component,system,scale_typ,long_common_name,example_ucum_units,displayname
"17146-2","Cells.CD4+CD8+/100 cells","Bld","Qn","CD4+CD8+ cells/100 cells in Blood","%","CD4+CD8+ cells/100 cells (Bld)"
"1925-7","Base excess","BldA","Qn","Base excess in Arterial blood by calculation","mmol/L","Base excess Calc (BldA) [Moles/Vol]"
"20564-1","Oxygen saturation","Bld","Qn","Oxygen saturation in Blood","%",""
"2069-3","Chloride","Bld","Qn","Chloride [Moles/volume] in Blood","mmol/L","Chloride (Bld) [Moles/Vol]"
"2716-9","Oxyhemoglobin/Hemoglobin.total","BldV","Qn","Fractional oxyhemoglobin in Venous blood","%","Oxyhemoglobin (BldV) [Mass fraction]"
"14879-1","Phosphate","Ser/Plas","Qn","Phosphate [Moles/volume] in Serum or Plasma","mmol/L","Phosphate [Moles/Vol]"
"2324-2","Gamma glutamyl transferase","Ser/Plas","Qn","Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma","U/L","Gamma glutamyl transferase [Catalytic activity/Vol]"
"1988-5","C reactive protein","Ser/Plas","Qn","C reactive protein [Mass/volume] in Serum or Plasma","mg/L","CRP [Mass/Vol]"
"67151-1","Troponin T.cardiac","Ser/Plas","Qn","Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method","ng/L","Troponin T.cardiac High sensitivity method [Mass/Vol]"
"721-1","Hemoglobin.free","Plas","Qn","Free Hemoglobin [Mass/volume] in Plasma","mg/L","Free Hemoglobin (P) [Mass/Vol]"
"53432-1","Gamma glutamyl transferase","Dial fld","Qn","Gamma glutamyl transferase [Enzymatic activity/volume] in Dialysis fluid","U/L","Gamma glutamyl transferase (Dial fld) [Catalytic activity/Vol]"
"25302-1","Alanine aminotransferase","Body fld","Qn","Alanine aminotransferase [Enzymatic activity/volume] in Body fluid","U/L","ALT (Body fld) [Catalytic activity/Vol]"
"17858-2","Gamma glutamyl transferase","Body fld","Qn","Gamma glutamyl transferase [Enzymatic activity/volume] in Body fluid","U/L","Gamma glutamyl transferase (Body fld) [Catalytic activity/Vol]"
"2881-1","Protein","Body fld","Qn","Protein [Mass/volume] in Body fluid","g/dL","Protein (Body fld) [Mass/Vol]"
"46424-8","Hemolysis interference index","Ser/Plas","Qn","Hemolysis interference index of Serum or Plasma","[arb'U]/mL","Hemolysis interference index Qn"
"14732-2","Folate","Ser/Plas","Qn","Folate [Moles/volume] in Serum or Plasma","nmol/L","Folate [Moles/Vol]"
"51844-9","Cortisol","Saliva","Qn","Cortisol [Moles/volume] in Saliva (oral fluid)","nmol/L","Cortisol (Sal) [Moles/Vol]"
"41467-2","Benzodiazepines/Creatinine","Urine","Qn","Benzodiazepines/Creatinine [Mass Ratio] in Urine","ng/g{creat}","Benzodiazepines/Creatinine (U) [Mass ratio]"
"16214-9","Lysergate diethylamide","Urine","Ord","Lysergate diethylamide [Presence] in Urine by Confirmatory method","","Lysergate diethylamide Confirm Ql (U)"
"34388-9","Zinc","Urine","Qn","Zinc [Moles/volume] in 24 hour Urine","mmol/L","Zinc (24H U) [Moles/Vol]"
"48350-3","Venlafaxine+O-desmethylvenlafaxine","Ser/Plas","Qn","Venlafaxine+O-desmethylvenlafaxine [Moles/volume] in Serum or Plasma","nmol/L","Venlafaxine+O-desmethylvenlafaxine [Moles/Vol]"
"2164-2","Creatinine renal clearance","Urine+Ser/Plas","Qn","Creatinine renal clearance in 24 hour Urine and Serum or Plasma","mL/min","Creatinine renal clearance (24H U+S/P) [Vol/Time]"
"17843-4","Cancer Ag 72-4","Ser/Plas","Qn","Cancer Ag 72-4 [Units/volume] in Serum or Plasma","[arb'U]/mL","Cancer Ag 72-4 Qn"
"44917-3","Cortisol^post dose dexamethasone","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --post dose dexamethasone","nmol/L","Cortisol post dose dexamethasone [Moles/Vol]"
"14732-2","Folate","Ser/Plas","Qn","Folate [Moles/volume] in Serum or Plasma","nmol/L","Folate [Moles/Vol]"
"13965-9","Homocysteine","Ser/Plas","Qn","Homocysteine [Moles/volume] in Serum or Plasma","umol/L","Homocysteine [Moles/Vol]"
"14921-1","Thyroxine","Ser/Plas","Qn","Thyroxine (T4) [Moles/volume] in Serum or Plasma","nmol/L","T4 [Moles/Vol]"
"48431-1","Zinc","Semen","Qn","Zinc [Molar amount] in unspecified time Semen","umol/{ejaculate}","Zinc Unsp time (Sem) [Molar amount]"
"3862-0","Nordoxepin","Ser/Plas","Qn","Nordoxepin [Mass/volume] in Serum or Plasma","ng/mL","Nordoxepin [Mass/Vol]"
"31019-3","10-Hydroxycarbazepine","Ser/Plas","Qn","10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma","ug/mL","10-Hydroxycarbazepine [Mass/Vol]"
"25679-2","Glucose^1.5H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1.5 hours post XXX challenge","mmol/L","Glucose 1.5 Hr post Unsp challenge [Moles/Vol]"
"30083-0","Epstein Barr virus nuclear Ab.IgG","Ser","Qn","Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunoassay","[IU]/mL","EBV nuclear IgG IA Qn (S)"
"41399-7","Herpes simplex virus 1+2 Ab.IgM","Ser","Qn","Herpes simplex virus 1+2 IgM Ab [Units/volume] in Serum by Immunoassay","{Index_val}","HSV 1+2 IgM IA Qn (S)"
"7885-7","Epstein Barr virus capsid Ab.IgG","Ser","Qn","Epstein Barr virus capsid IgG Ab [Units/volume] in Serum","[arb'U]/mL","EBV capsid IgG Qn (S)"
"19162-7","Varicella zoster virus Ab.IgG","Ser","Ord","Varicella zoster virus IgG Ab [Presence] in Serum","","VZV IgG Ql (S)"
"32200-8","Neutrophils.segmented/100 leukocytes","Bld","Qn","Segmented neutrophils/100 leukocytes in Blood by Automated count","%","Segmented neutrophils/100 WBC Auto (Bld)"
"742-7","Monocytes","Bld","Qn","Monocytes [#/volume] in Blood by Automated count","10*3/uL","Monocytes Auto (Bld) [#/Vol]"
"58445-8","Manual differential comment","Bld","Nar","Manual differential comment [Interpretation] in Blood Narrative","","Manual differential comment Nar (Bld) [Interp]"
"736-9","Lymphocytes/100 leukocytes","Bld","Qn","Lymphocytes/100 leukocytes in Blood by Automated count","%","Lymphocytes/100 WBC Auto (Bld)"
"13047-6","Plasma cells/100 leukocytes","Bld","Qn","Plasma cells/100 leukocytes in Blood","%","Plasma cells/100 WBC (Bld)"
"6690-2","Leukocytes","Bld","Qn","Leukocytes [#/volume] in Blood by Automated count","10*3/uL","WBC Auto (Bld) [#/Vol]"
"60474-4","Reticulocytes","Bld","Qn","Reticulocytes [#/volume] in Blood by Automated count","10*3/uL","Reticulocytes Auto (Bld) [#/Vol]"
"786-4","Erythrocyte mean corpuscular hemoglobin concentration","RBC","Qn","MCHC [Mass/volume] by Automated count","g/dL","MCHC Auto (RBC) [Mass/Vol]"
"718-7","Hemoglobin","Bld","Qn","Hemoglobin [Mass/volume] in Blood","g/dL","Hemoglobin (Bld) [Mass/Vol]"
"770-8","Neutrophils/100 leukocytes","Bld","Qn","Neutrophils/100 leukocytes in Blood by Automated count","%","Neutrophils/100 WBC Auto (Bld)"
"713-8","Eosinophils/100 leukocytes","Bld","Qn","Eosinophils/100 leukocytes in Blood by Automated count","%","Eosinophils/100 WBC Auto (Bld)"
"2885-2","Protein","Ser/Plas","Qn","Protein [Mass/volume] in Serum or Plasma","g/dL","Protein [Mass/Vol]"
"55429-5","Short blood count panel","Bld","Qn","Short blood count panel - Blood","","Short blood count panel (Bld)"
"46424-8","Hemolysis interference index","Ser/Plas","Qn","Hemolysis interference index of Serum or Plasma","[arb'U]/mL","Hemolysis interference index Qn"
"96402-3","Retinol binding protein/Creatinine","Urine","Qn","Retinol binding protein/Creatinine [Mass Ratio] in Urine","ug/g{creat}","Retinol binding protein/Creatinine (U) [Mass ratio]"
"25671-9","Glucose^30M post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --30 minutes post XXX challenge","mmol/L","Glucose 30 Min post Unsp challenge [Moles/Vol]"
"19214-6","Oxygen^^saturation adjusted to 0.5","BldA","Qn","Oxygen [Partial pressure] saturation adjusted to 0.5 in Arterial blood","mm[Hg]","Oxygen saturation adjusted to 0.5 (BldA) [Partial pressure]"
"14920-3","Thyroxine.free","Ser/Plas","Qn","Thyroxine (T4) free [Moles/volume] in Serum or Plasma","pmol/L","Free T4 [Moles/Vol]"
"14928-6","Triiodothyronine.free","Ser/Plas","Qn","Triiodothyronine (T3) Free [Moles/volume] in Serum or Plasma","pmol/L","Free T3 [Moles/Vol]"
"5388-4","Toxoplasma gondii Ab.IgG","Ser/Plas","Qn","Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","[arb'U]/mL","T. gondii IgG IA Qn"
"25542-2","Toxoplasma gondii Ab.IgM","Ser","Ord","Toxoplasma gondii IgM Ab [Presence] in Serum","","T. gondii IgM Ql (S)"
"22244-8","Cytomegalovirus Ab.IgG","Ser/Plas","Ord","Cytomegalovirus IgG Ab [Presence] in Serum or Plasma","","CMV IgG Ql"
"2032-1","Carboxyhemoglobin/Hemoglobin.total","BldV","Qn","Carboxyhemoglobin/Hemoglobin.total in Venous blood","%","Carboxyhemoglobin (BldV) [Mass fraction]"
"19216-1","Oxygen^^saturation adjusted to 0.5","BldV","Qn","Oxygen [Partial pressure] saturation adjusted to 0.5 in Venous blood","mm[Hg]","Oxygen saturation adjusted to 0.5 (BldV) [Partial pressure]"
"60834-9","Body temperature","Bld","Qn","Blood temperature","Cel;[degF]",""
"35669-1","Amikacin","Ser/Plas","Qn","Amikacin [Mass/volume] in Serum or Plasma","mg/L","Amikacin [Mass/Vol]"
"4088-1","Valproate^trough","Ser/Plas","Qn","Valproate [Mass/volume] in Serum or Plasma --trough","ug/mL","Valproate trough [Mass/Vol]"
"83094-3","Digoxin","Ser/Plas","Qn","Digoxin [Moles/volume] in Serum or Plasma by Immunoassay","nmol/L","Digoxin IA [Moles/Vol]"
"29620-2","Zonisamide","Ser/Plas","Qn","Zonisamide [Mass/volume] in Serum or Plasma","ug/mL","Zonisamide [Mass/Vol]"
"74217-1","Fondaparinux","PPP","Qn","Fondaparinux [Mass/volume] in Platelet poor plasma by Chromogenic method","ug/mL;ng/mL","Fondaparinux Chromogenic method (PPP) [Mass/Vol]"
"20575-7","Hepatitis A virus Ab","Ser","Ord","Hepatitis A virus Ab [Presence] in Serum","","HAV Ab Ql (S)"
"2098-2","Cholinesterase","Ser/Plas","Qn","Cholinesterase [Enzymatic activity/volume] in Serum or Plasma","U/L","Cholinesterase [Catalytic activity/Vol]"
"26881-3","Interleukin 6","Ser/Plas","Qn","Interleukin 6 [Mass/volume] in Serum or Plasma","pg/mL","Interleukin 6 [Mass/Vol]"
"48349-5","Pregabalin","Ser/Plas","Qn","Pregabalin [Moles/volume] in Serum or Plasma","","Pregabalin [Moles/Vol]"
"42254-3","Nuclear Ab","Ser","Ord","Nuclear Ab [Presence] in Serum by Immunofluorescence","","Nuclear Ab IF Ql (S)"
"51924-9","Neutrophil cytoplasmic Ab","Ser","Qn","Neutrophil cytoplasmic Ab [Titer] in Serum by Immunofluorescence","{titer}","Neutrophil cytoplasmic Ab IF (S) [Titer]"
"74522-4","Complement lectin pathway actual/normal","Ser","Qn","Complement lectin pathway actual/normal in Serum by Immunoassay","%","Complement lectin pathway actual/normal IA (S) [Rel units/Vol]"
"27183-3","Cardiolipin Ab.IgG","Ser","Ord","Cardiolipin IgG Ab [Presence] in Serum","","Cardiolipin IgG Ql (S)"
"11558-4","pH","Bld","Qn","pH of Blood","[pH]","pH (Bld)"
"10633-6","Zinc","Semen","Qn","Zinc [Moles/volume] in Semen","umol/L","Zinc (Sem) [Moles/Vol]"
"34266-7","Citrate","Urine","Qn","Citrate [Moles/volume] in Urine","mmol/L","Citrate (U) [Moles/Vol]"
"6298-4","Potassium","Bld","Qn","Potassium [Moles/volume] in Blood","mmol/L","Potassium (Bld) [Moles/Vol]"
"11556-8","Oxygen","Bld","Qn","Oxygen [Partial pressure] in Blood","mm[Hg]","Oxygen (Bld) [Partial pressure]"
"11559-2","Oxyhemoglobin/Hemoglobin.total","Bld","Qn","Fractional oxyhemoglobin in Blood","%","Oxyhemoglobin (Bld) [Mass fraction]"
"5646-5","Ethylene glycol","Ser/Plas/Bld","Qn","Ethylene glycol [Mass/volume] in Serum, Plasma or Blood","ug/mL","Ethylene glycol (S/P/Bld) [Mass/Vol]"
"5195-3","Hepatitis B virus surface Ag","Ser","Ord","Hepatitis B virus surface Ag [Presence] in Serum","","HBV surface Ag Ql (S)"
"2458-8","IgA","Ser/Plas","Qn","IgA [Mass/volume] in Serum or Plasma","mg/dL","IgA [Mass/Vol]"
"2468-7","IgG subclass 3","Ser","Qn","IgG subclass 3 [Mass/volume] in Serum","mg/dL","IgG subclass 3 (S) [Mass/Vol]"
"43916-6","Beta 2 glycoprotein 1 Ab.IgM","Ser","Ord","Beta 2 glycoprotein 1 IgM Ab [Presence] in Serum","","Beta 2 glycoprotein 1 IgM Ql (S)"
"62238-1","Glomerular filtration rate/1.73 sq M.predicted","Ser/Plas/Bld","Qn","Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)","mL/min/{1.73_m2}","GFR/1.73 sq M.predicted CKD-EPI (S/P/Bld) [Vol rate/Area]"
"59826-8","Creatinine","Bld","Qn","Creatinine [Moles/volume] in Blood","umol/L","Creatinine (Bld) [Moles/Vol]"
"22326-3","Hepatitis C virus 5-1-1 Ab","Ser","Ord","Hepatitis C virus 5-1-1 Ab [Presence] in Serum","","HCV 5-1-1 Ab Ql (S)"
"4087-3","Valproate.free","Ser/Plas","Qn","Valproate Free [Mass/volume] in Serum or Plasma","ug/mL","Valproate Free [Mass/Vol]"
"14731-4","Folate","RBC","Qn","Folate [Moles/volume] in Red Blood Cells","nmol/L","Folate (RBC) [Moles/Vol]"
"74871-5","Rivaroxaban","PPP","Qn","Rivaroxaban [Mass/volume] in Platelet poor plasma by Chromogenic method","ng/mL","Rivaroxaban Chromogenic method (PPP) [Mass/Vol]"
"12195-4","Creatinine renal clearance/1.73 sq M","Urine+Ser/Plas","Qn","Creatinine renal clearance/1.73 sq M in 24 hour Urine and Serum or Plasma","mL/min/{1.73_m2}","Creatinine renal clearance/1.73 sq M (24H U+S/P) [Vol rate/Area]"
"32313-9","Cortisol^30M post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --30 minutes post XXX challenge","nmol/L","Cortisol 30 Min post Unsp challenge [Moles/Vol]"
"40151-3","Glucose^10M pre XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --10 minutes pre XXX challenge","mmol/L","Glucose 10 Min pre Unsp challenge [Moles/Vol]"
"25679-2","Glucose^1.5H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1.5 hours post XXX challenge","mmol/L","Glucose 1.5 Hr post Unsp challenge [Moles/Vol]"
"3582-4","Doxepin+Nordoxepin","Ser/Plas","Qn","Doxepin+Nordoxepin [Mass/volume] in Serum or Plasma","ng/mL","Doxepin+Nordoxepin [Mass/Vol]"
"88895-8","Perampanel","Ser/Plas","Qn","Perampanel [Mass/volume] - Serum or Plasma","ng/mL","Perampanel [Mass/Vol]"
"20521-1","Carboxy tetrahydrocannabinol","Urine","Qn","Carboxy tetrahydrocannabinol [Mass/volume] in Urine by Confirmatory method","ng/mL","Carboxy tetrahydrocannabinol Confirm (U) [Mass/Vol]"
"46425-5","Lipemic interference index","Ser/Plas","Qn","Lipemic interference index of Serum or Plasma","[arb'U]/mL","Lipemic interference index Qn"
"29247-4","Sirolimus","Bld","Qn","Sirolimus [Mass/volume] in Blood","ng/mL","Sirolimus (Bld) [Mass/Vol]"
"55171-3","Cytoplasmic Ab pattern","Ser","Nom","Cytoplasmic Ab pattern [Interpretation] in Serum by Immunofluorescence","","Cytoplasmic Ab pattern IF (S) [Interp]"
"28555-1","Nicotine+Cotinine","Urine","Ord","Nicotine+Cotinine [Presence] in Urine by Confirmatory method","","Nicotine+Cotinine Confirm Ql (U)"
"14683-7","Creatinine","Urine","Qn","Creatinine [Moles/volume] in Urine","mmol/L","Creatinine (U) [Moles/Vol]"
"25362-5","Calcium","Urine","Qn","Calcium [Moles/volume] in 24 hour Urine","mmol/L","Calcium (24H U) [Moles/Vol]"
"2079-2","Chloride","Urine","Qn","Chloride [Moles/time] in 24 hour Urine","mmol/(24.h)","Chloride (24H U) [Moles/Time]"
"21476-7","Potassium","Urine","Qn","Potassium [Moles/volume] in 24 hour Urine","mmol/L","Potassium (24H U) [Moles/Vol]"
"21525-1","Sodium","Urine","Qn","Sodium [Moles/volume] in 24 hour Urine","mol/L","Sodium (24H U) [Moles/Vol]"
"25973-9","Phosphate","Urine","Qn","Phosphate [Moles/volume] in 24 hour Urine","mmol/L","Phosphate (24H U) [Moles/Vol]"
"83090-1","Cortisol","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma by Immunoassay","nmol/L","Cortisol IA [Moles/Vol]"
"3972-7","Piperacillin","Ser/Plas","Qn","Piperacillin [Mass/volume] in Serum or Plasma","ug/mL","Piperacillin [Mass/Vol]"
"6690-2","Leukocytes","Bld","Qn","Leukocytes [#/volume] in Blood by Automated count","10*3/uL","WBC Auto (Bld) [#/Vol]"
"4544-3","Hematocrit","Bld","Qn","Hematocrit [Volume Fraction] of Blood by Automated count","%","Hematocrit Auto (Bld) [Volume fraction]"
"785-6","Erythrocyte mean corpuscular hemoglobin","RBC","Qn","MCH [Entitic mass] by Automated count","pg","MCH Auto (RBC) [Entitic mass]"
"76069-4","Erythrocytes.hypochromic/100 erythrocytes","Bld","Qn","Erythrocytes.hypochromic/100 erythrocytes in Blood by Automated count","%","RBC.hypochromic/100 RBC Auto (Bld)"
"51631-0","Platelet distribution width","Bld","Qn","Platelet distribution width [Ratio] in Blood","%","Platelet distribution width (Bld) [Ratio]"
"4679-7","Reticulocytes/100 erythrocytes","Bld","Qn","Reticulocytes/100 erythrocytes in Blood","%","Reticulocytes/100 RBC (Bld)"
"33516-6","Reticulocytes.immature/Reticulocytes.total","Bld","Qn","Immature reticulocytes/Reticulocytes.total in Blood","%","Immature reticulocytes/Total reticulocytes (Bld)"
"34420-0","Reticulocytes.mid/Reticulocytes.total","Bld","Qn","Reticulocytes.mid/Reticulocytes.total in Blood","%","Reticulocytes.mid/Total reticulocytes (Bld)"
"19683-2","Psilocin","Urine","Ord","Psilocin [Presence] in Urine by Confirmatory method","","Psilocin Confirm Ql (U)"
"6953-4","Zolpidem","Ser/Plas","Qn","Zolpidem [Mass/volume] in Serum or Plasma","mg/L","Zolpidem [Mass/Vol]"
"77930-6","Cortisol^4H post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --4 hours post XXX challenge","nmol/L","Cortisol 4 Hr post Unsp challenge [Moles/Vol]"
"12841-3","Prostate specific Ag.free/Prostate specific Ag.total","Ser/Plas","Qn","Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma","%","Free PSA/Total PSA [Mass fraction]"
"57416-0","Thyrotropin receptor Ab","Ser","Qn","Thyrotropin receptor Ab [Units/volume] in Serum by Immunoassay","m[IU]/mL","TSH receptor Ab IA Qn (S)"
"48354-5","ARIPiprazole","Ser/Plas","Qn","ARIPiprazole [Moles/volume] in Serum or Plasma","","ARIPiprazole [Moles/Vol]"
"40161-2","Glucose^2.5H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --2.5 hours post XXX challenge","mmol/L","Glucose 2.5 Hr post Unsp challenge [Moles/Vol]"
"41149-6","Herpes simplex virus 1+2 Ab.IgM","Ser","Ord","Herpes simplex virus 1+2 IgM Ab [Presence] in Serum","","HSV 1+2 IgM Ql (S)"
"8048-1","Varicella zoster virus Ab.IgM","Ser","Qn","Varicella zoster virus IgM Ab [Units/volume] in Serum","[arb'U]/mL","VZV IgM Qn (S)"
"751-8","Neutrophils","Bld","Qn","Neutrophils [#/volume] in Blood by Automated count","10*3/uL","Neutrophils Auto (Bld) [#/Vol]"
"706-2","Basophils/100 leukocytes","Bld","Qn","Basophils/100 leukocytes in Blood by Automated count","%","Basophils/100 WBC Auto (Bld)"
"19214-6","Oxygen^^saturation adjusted to 0.5","BldA","Qn","Oxygen [Partial pressure] saturation adjusted to 0.5 in Arterial blood","mm[Hg]","Oxygen saturation adjusted to 0.5 (BldA) [Partial pressure]"
"76069-4","Erythrocytes.hypochromic/100 erythrocytes","Bld","Qn","Erythrocytes.hypochromic/100 erythrocytes in Blood by Automated count","%","RBC.hypochromic/100 RBC Auto (Bld)"
"736-9","Lymphocytes/100 leukocytes","Bld","Qn","Lymphocytes/100 leukocytes in Blood by Automated count","%","Lymphocytes/100 WBC Auto (Bld)"
"58410-2","Complete blood count panel","Bld","-","CBC panel - Blood by Automated count","","CBC panel Auto (Bld)"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"13945-1","Erythrocytes","Urine sed","Qn","Erythrocytes [#/area] in Urine sediment by Microscopy high power field","/[HPF]","RBC LM.HPF (Urine sed) [#/Area]"
"39231-6","Syphilis screen test status","Ser","Nom","Syphilis screen test status CPHS","",""
"22580-5","Toxoplasma gondii Ab.IgG","Ser","Ord","Toxoplasma gondii IgG Ab [Presence] in Serum","","T. gondii IgG Ql (S)"
"30325-5","Cytomegalovirus Ab.IgM","Ser/Plas","Ord","Cytomegalovirus IgM Ab [Presence] in Serum or Plasma","","CMV IgM Ql"
"19216-1","Oxygen^^saturation adjusted to 0.5","BldV","Qn","Oxygen [Partial pressure] saturation adjusted to 0.5 in Venous blood","mm[Hg]","Oxygen saturation adjusted to 0.5 (BldV) [Partial pressure]"
"35668-3","Gentamicin","Ser/Plas","Qn","Gentamicin [Mass/volume] in Serum or Plasma","mg/L","Gentamicin [Mass/Vol]"
"39455-1","9-Hydroxyrisperidone","Ser/Plas","Qn","9-Hydroxyrisperidone [Moles/volume] in Serum or Plasma","nmol/L","9-Hydroxyrisperidone [Moles/Vol]"
"29265-6","Calcium^^corrected for albumin","Ser/Plas","Qn","Calcium [Moles/volume] corrected for albumin in Serum or Plasma","mmol/L","Calcium corrected for albumin [Moles/Vol]"
"16935-9","Hepatitis B virus surface Ab","Ser","Qn","Hepatitis B virus surface Ab [Units/volume] in Serum","m[IU]/mL","HBV surface Ab Qn (S)"
"45324-1","Ethyl glucuronide","Urine","Qn","Ethyl glucuronide [Mass/volume] in Urine","mg/L","Ethyl glucuronide (U) [Mass/Vol]"
"6774-4","Desethylamiodarone","Ser/Plas","Qn","Desethylamiodarone [Mass/volume] in Serum or Plasma","mg/L","Desethylamiodarone [Mass/Vol]"
"2731-8","Parathyrin.intact","Ser/Plas","Qn","Parathyrin.intact [Mass/volume] in Serum or Plasma","pg/mL","Parathyrin.intact [Mass/Vol]"
"2465-3","IgG","Ser/Plas","Qn","IgG [Mass/volume] in Serum or Plasma","mg/dL","IgG [Mass/Vol]"
"22735-5","Bicarbonate","XXX","Qn","Bicarbonate [Moles/volume] in Specimen","mmol/L","HCO3 (Specimen) [Moles/Vol]"
"2614-6","Methemoglobin/Hemoglobin.total","Bld","Qn","Methemoglobin/Hemoglobin.total in Blood","%","Methemoglobin (Bld) [Mass fraction]"
"48404-8","Myeloperoxidase Ab.IgG","Ser","Qn","Myeloperoxidase IgG Ab [Units/volume] in Serum","[arb'U]/mL","Myeloperoxidase IgG Qn (S)"
"2469-5","IgG subclass 4","Ser","Qn","IgG subclass 4 [Mass/volume] in Serum","mg/dL","IgG subclass 4 (S) [Mass/Vol]"
"72624-0","Rivaroxaban","Ser/Plas","Qn","Rivaroxaban [Mass/volume] in Serum or Plasma","ng/mL","Rivaroxaban [Mass/Vol]"
"4548-4","Hemoglobin A1c/Hemoglobin.total","Bld","Qn","Hemoglobin A1c/Hemoglobin.total in Blood","%","HbA1c (Bld) [Mass fraction]"
"14731-4","Folate","RBC","Qn","Folate [Moles/volume] in Red Blood Cells","nmol/L","Folate (RBC) [Moles/Vol]"
"77930-6","Cortisol^4H post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --4 hours post XXX challenge","nmol/L","Cortisol 4 Hr post Unsp challenge [Moles/Vol]"
"40161-2","Glucose^2.5H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --2.5 hours post XXX challenge","mmol/L","Glucose 2.5 Hr post Unsp challenge [Moles/Vol]"
"2132-9","Cobalamins","Ser/Plas","Qn","Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma","pg/mL","Cobalamin (Vitamin B12) [Mass/Vol]"
"46424-8","Hemolysis interference index","Ser/Plas","Qn","Hemolysis interference index of Serum or Plasma","[arb'U]/mL","Hemolysis interference index Qn"
"32721-3","Tacrolimus","Ser/Plas","Qn","Tacrolimus [Mass/volume] in Serum or Plasma","ng/mL","Tacrolimus [Mass/Vol]"
"55171-3","Cytoplasmic Ab pattern","Ser","Nom","Cytoplasmic Ab pattern [Interpretation] in Serum by Immunofluorescence","","Cytoplasmic Ab pattern IF (S) [Interp]"
"21194-6","Chloride","Urine","Qn","Chloride [Moles/volume] in 24 hour Urine","mmol/L","Chloride (24H U) [Moles/Vol]"
"2829-0","Potassium","Urine","Qn","Potassium [Moles/time] in 24 hour Urine","mmol/(24.h)","Potassium (24H U) [Moles/Time]"
"21482-5","Protein","Urine","Qn","Protein [Mass/volume] in 24 hour Urine","g/dL","Protein (24H U) [Mass/Vol]"
"58410-2","Complete blood count panel","Bld","-","CBC panel - Blood by Automated count","","CBC panel Auto (Bld)"
"787-2","Erythrocyte mean corpuscular volume","RBC","Qn","MCV [Entitic volume] by Automated count","fL","MCV Auto (RBC) [Entitic vol]"
"777-3","Platelets","Bld","Qn","Platelets [#/volume] in Blood by Automated count","10*3/uL","Platelets Auto (Bld) [#/Vol]"
"60474-4","Reticulocytes","Bld","Qn","Reticulocytes [#/volume] in Blood by Automated count","10*3/uL","Reticulocytes Auto (Bld) [#/Vol]"
"51642-7","Reticulocytes.high light scatter/Reticulocytes.total","Bld","Qn","Reticulocytes.high light scatter/Reticulocytes.total in Blood","%","Reticulocytes.high light scatter/Total reticulocytes (Bld)"
"742-7","Monocytes","Bld","Qn","Monocytes [#/volume] in Blood by Automated count","10*3/uL","Monocytes Auto (Bld) [#/Vol]"
"17788-1","Large unstained cells/100 leukocytes","Bld","Qn","Large unstained cells/100 leukocytes in Blood by Automated count","%","Large unstained cells/100 WBC Auto (Bld)"
"32200-8","Neutrophils.segmented/100 leukocytes","Bld","Qn","Segmented neutrophils/100 leukocytes in Blood by Automated count","%","Segmented neutrophils/100 WBC Auto (Bld)"
"737-7","Lymphocytes/100 leukocytes","Bld","Qn","Lymphocytes/100 leukocytes in Blood by Manual count","%","Lymphocytes/100 WBC Manual cnt (Bld)"
"26446-5","Blasts/100 leukocytes","Bld","Qn","Blasts/100 leukocytes in Blood","%","Blasts/100 WBC (Bld)"
"29261-5","Lymphocytes.abnormal/100 leukocytes","Bld","Qn","Abnormal lymphocytes/100 leukocytes in Blood by Manual count","%","Abnormal lymphocytes/100 WBC Manual cnt (Bld)"
"6690-2","Leukocytes","Bld","Qn","Leukocytes [#/volume] in Blood by Automated count","10*3/uL","WBC Auto (Bld) [#/Vol]"
"706-2","Basophils/100 leukocytes","Bld","Qn","Basophils/100 leukocytes in Blood by Automated count","%","Basophils/100 WBC Auto (Bld)"
"17607-3","Specimen volume","CSF","Qn","Volume of Cerebral spinal fluid","mL","Specimen volume (CSF)"
